Ref	Paire	Cible	n	rating.response_mean	rating.response_raw	rating.response_std	rating.rt_mean	rating.rt_raw	rating.rt_std	order	numPs
L	L A	A	1	0.709999978542	0.709999978542328	0	0.855000019073	0.855000019073486	0	43	1
D	D C	C	1	0.870000004768	0.870000004768372	0	1.05400002003	1.05400002002716	0	54	1
r	r f	f	1	0.460000008345	0.46000000834465	0	1.16999995708	1.16999995708466	0	23	1
t	t u	u	1	0.589999973774	0.589999973773956	0	1.27100002766	1.27100002765656	0	67	1
M	M M	M	1	1	1	0	1.8029999733	1.80299997329712	0	27	1
h	h h	h	1	1	1	0	1.97099995613	1.97099995613098	0	45	1
L	L Q	Q	1	0.170000001788	0.170000001788139	0	1.10500001907	1.10500001907349	0	71	1
h	h e	e	1	0.600000023842	0.600000023841858	0	2.18700003624	2.18700003623962	0	11	1
A	A N	N	1	0.209999993443	0.209999993443489	0	1.55499994755	1.55499994754791	0	60	1
r	r k	k	1	0.77999997139	0.779999971389771	0	1.2879999876	1.28799998760223	0	2	1
e	e h	h	1	0.829999983311	0.829999983310699	0	1.43799996376	1.43799996376038	0	33	1
d	d i	i	1	0.20000000298	0.200000002980232	0	0.953999996185	0.953999996185303	0	44	1
R	R S	S	1	0.850000023842	0.850000023841858	0	1.85500001907	1.85500001907349	0	49	1
T	T E	E	1	0.449999988079	0.449999988079071	0	0.92199999094	0.921999990940094	0	58	1
T	T B	B	1	0.25	0.25	0	1.2879999876	1.28799998760223	0	62	1
k	k g	g	1	0.310000002384	0.310000002384186	0	2.10299992561	2.1029999256134	0	16	1
a	a c 	c	1	0.330000013113	0.330000013113022	0	1.93700003624	1.93700003623962	0	14	1
b	b f	f	1	0.189999997616	0.189999997615814	0	4.18699979782	4.18699979782104	0	1	1
I	I R	R	1	0.129999995232	0.129999995231628	0	1.1210000515	1.12100005149841	0	38	1
F	F L	L	1	0.439999997616	0.439999997615814	0	1.00499999523	1.00499999523163	0	30	1
s	s r	r	1	0.670000016689	0.670000016689301	0	0.736999988556	0.736999988555908	0	55	1
i	i e	e	1	0.389999985695	0.389999985694885	0	1.62000000477	1.62000000476837	0	9	1
N	N S	S	1	0.730000019073	0.730000019073486	0	1.13800001144	1.13800001144409	0	46	1
D	D Q	Q	1	0.939999997616	0.939999997615814	0	1.65499997139	1.65499997138977	0	10	1
z	z m	m	1	0.270000010729	0.270000010728836	0	1.20500004292	1.20500004291534	0	59	1
v	v s	s	1	0.270000010729	0.270000010728836	0	1.0039999485	1.00399994850159	0	31	1
