	Lettre1	Bloc	Paires	OrdreAlea	Lettre2	n	rating.response_mean	rating.response_raw	rating.response_std	rating.rt_mean	rating.rt_raw	rating.rt_std	order	numPs
3926	l	3	l v	0.582788851	v	1	0.400000006	0.400000006	0	4.801000118	4.801000118	0	25	G
3936	k	3	k f	0.843043788	f	1	0.050000001	0.050000001	0	2.701999903	2.701999903	0	26	G
3946	s	3	s m	0.908838236	m	1	0.050000001	0.050000001	0	2.071000099	2.071000099	0	27	G
3956	j	3	j z	0.18651108	z	1	0.050000001	0.050000001	0	2.618999958	2.618999958	0	28	G
3966	r	3	r a	0.735984982	a	1	0.389999986	0.389999986	0	2.536000013	2.536000013	0	29	G
3976	j	3	j s	0.028003369	s	1	0.389999986	0.389999986	0	3.40199995	3.40199995	0	30	G
3986	l	3	l w	0.548215138	w	1	0.270000011	0.270000011	0	3.835000038	3.835000038	0	31	G
3996	c	3	c e	0.134153082	e	1	0.310000002	0.310000002	0	5.136000156	5.136000156	0	32	G
4006	h	3	h t	0.451545119	t	1	0.07	0.07	0	2.601999998	2.601999998	0	33	G
40110	i	3	i v	0.251349964	v	1	0.289999992	0.289999992	0	2.90199995	2.90199995	0	34	G
4026	s	3	s o	0.978759289	o	1	0.059999999	0.059999999	0	5.885000229	5.885000229	0	35	G
4036	a	3	a i	0.779407514	i	1	0.090000004	0.090000004	0	10.43500042	10.43500042	0	36	G
4046	p	3	p c	0.862733154	c	1	0.209999993	0.209999993	0	2.984999895	2.984999895	0	37	G
4056	s	3	s f	0.895729836	f	1	0.050000001	0.050000001	0	2.269999981	2.269999981	0	38	G
4066	f	3	f q	0.936571499	q	1	0.039999999	0.039999999	0	3.319000006	3.319000006	0	39	G
4076	q	3	q b	0.621337789	b	1	0.07	0.07	0	1.087000012	1.087000012	0	40	G
4086	h	3	h x	0.480963845	x	1	0.209999993	0.209999993	0	2.769000053	2.769000053	0	41	G
4096	n	3	n i	0.376914235	i	1	0.050000001	0.050000001	0	3.63499999	3.63499999	0	42	G
4106	k	3	k d	0.266657433	d	1	0.050000001	0.050000001	0	1.18599999	1.18599999	0	43	G
41110	j	3	j c	0.414237968	c	1	0.430000007	0.430000007	0	1.753000021	1.753000021	0	44	G
4126	h	3	h u	0.528071752	u	1	0.469999999	0.469999999	0	2.868999958	2.868999958	0	45	G
4136	v	3	v t	0.374729866	t	1	0.090000004	0.090000004	0	3.234999895	3.234999895	0	46	G
4146	c	3	c m	0.747989852	m	1	0.100000001	0.100000001	0	2.552000046	2.552000046	0	47	G
4156	c	3	c t	0.949043137	t	1	0.230000004	0.230000004	0	3.186000109	3.186000109	0	48	G
4166	p	3	p w	0.653787604	w	1	0.07	0.07	0	3.887000084	3.887000084	0	49	G
4176	k	3	k e	0.027614385	e	1	0.07	0.07	0	1.738000035	1.738000035	0	50	G
4186	i	3	i b	0.791508146	b	1	0.07	0.07	0	2.986000061	2.986000061	0	51	G
4286	b	4	b f	0.258150853	f	1	0.25999999	0.25999999	0	6.468999863	6.468999863	0	0	G
4296	r	4	r d	0.123740905	d	1	0.090000004	0.090000004	0	3.786000013	3.786000013	0	1	G
4306	m	4	m i	0.823887178	i	1	0.170000002	0.170000002	0	5.967000008	5.967000008	0	2	G
43110	o	4	o d	0.949610426	d	1	0.050000001	0.050000001	0	2.41899991	2.41899991	0	3	G
4326	c	4	c z	0.408594119	z	1	0.289999992	0.289999992	0	2.937000036	2.937000036	0	4	G
4336	j	4	j v	0.371870353	v	1	0.129999995	0.129999995	0	1.519999981	1.519999981	0	5	G
4346	d	4	d w	0.469026246	w	1	0.059999999	0.059999999	0	2.153000116	2.153000116	0	6	G
4356	i	4	i e	0.13023116	e	1	0.189999998	0.189999998	0	2.335999966	2.335999966	0	7	G
4366	x	4	x o	0.743243966	o	1	0.059999999	0.059999999	0	3.118999958	3.118999958	0	8	G
4376	b	4	b m	0.288788047	m	1	0.029999999	0.029999999	0	3.219000101	3.219000101	0	9	G
