num_item,base,item,cond_target,bloque,cond_bloque,acierto,TR
70,TAPA,SAVA,0,pseudopalabra,2,1,NA
69,SOPA,TOVA,0,pseudopalabra,2,1,NA
4,BOCA,LOGA,0,pseudopalabra,2,1,NA
63,ROCA,BOMA,0,pseudopalabra,2,1,NA
68,SOL,DOL,0,pseudopalabra,2,1,NA
51,PAN,LAN,0,pseudopalabra,2,1,NA
56,PINO,MISO,0,pseudopalabra,2,1,NA
52,PATO,MADO,0,pseudopalabra,2,1,NA
59,RANA,SAMA,0,pseudopalabra,2,1,NA
12,CENA,CIRA,0,pseudopalabra,2,1,NA
12,CENA,CIRA,1,pseudopalabra,2,1,0.574948206075
72,TAZA,RAGA,0,pseudopalabra,2,1,NA
72,TAZA,RAGA,1,pseudopalabra,2,1,0.800993771623
46,OLA,EBA,0,pseudopalabra,2,1,NA
46,OLA,EBA,1,pseudopalabra,2,1,0.808565228399
26,LAGO,RACO,0,pseudopalabra,2,1,NA
39,MESA,CEVA,0,pseudopalabra,2,1,NA
45,OJO,ENO,0,pseudopalabra,2,1,NA
36,MANO,PAMO,0,pseudopalabra,2,1,NA
7,CAJA,MAVA,0,pseudopalabra,2,1,NA
61,RAYO,BAYE,0,pseudopalabra,2,1,NA
61,RAYO,BAYE,1,pseudopalabra,2,1,0.690686841928
3,BESO,REDO,0,pseudopalabra,2,1,NA
1,ARO,EJO,0,pseudopalabra,2,1,NA
11,CASA,MABA,0,pseudopalabra,2,1,NA
23,GOMA,HONA,0,pseudopalabra,2,1,NA
23,GOMA,HONA,1,pseudopalabra,2,1,1.02176778463
19,FILA,GISA,0,pseudopalabra,2,1,NA
19,FILA,GISA,1,pseudopalabra,2,1,0.578386388828
37,MAPA,PAZA,0,pseudopalabra,2,1,NA
29,LEÑA,LIBA,0,pseudopalabra,2,1,NA
38,MAR,SAR,0,pseudopalabra,2,1,NA
2,BAÑO,LAFO,0,pseudopalabra,2,1,NA
5,BOTA,LETA,0,pseudopalabra,2,1,NA
5,BOTA,LETA,1,pseudopalabra,2,1,0.759033933726
64,ROPA,BOJA,0,pseudopalabra,2,1,NA
64,ROPA,BOJA,1,pseudopalabra,2,1,0.618494015333
24,GOTA,DETA,0,pseudopalabra,2,1,NA
44,NUBE,GUPE,0,pseudopalabra,2,1,NA
74,TORO,BODO,0,pseudopalabra,2,1,NA
74,TORO,BODO,1,pseudopalabra,2,1,0.724289610167
43,NIÑO,GIJO,0,pseudopalabra,2,1,NA
17,DADO,LARO,0,pseudopalabra,2,1,NA
50,PALO,SAVO,0,pseudopalabra,2,1,NA
8,CAMA,PAÑA,0,pseudopalabra,2,1,NA
18,DEDO,LESO,0,pseudopalabra,2,1,NA
6,BOTE,LOME,0,pseudopalabra,2,1,NA
13,CINE,CEGE,0,pseudopalabra,2,1,NA
13,CINE,CEGE,1,pseudopalabra,2,1,0.669380266947
33,LUPA,FUJA,0,pseudopalabra,2,1,NA
77,VACA,FADA,0,pseudopalabra,2,1,NA
47,ORO,EPO,0,pseudopalabra,2,1,NA
34,LUZ,CUZ,0,pseudopalabra,2,1,NA
60,RATA,GADA,0,pseudopalabra,2,1,NA
35,MAGO,CADO,0,pseudopalabra,2,1,NA
14,COPA,POBA,0,pseudopalabra,2,1,NA
48,OSO,EJO,0,pseudopalabra,2,1,NA
30,LOBO,BOGO,0,pseudopalabra,2,1,NA
30,LOBO,BOGO,1,pseudopalabra,2,1,0.628587379568
16,CUNA,MUPA,0,pseudopalabra,2,1,NA
73,TELA,BENA,0,pseudopalabra,2,1,NA
73,TELA,BENA,1,pseudopalabra,2,1,0.639488475084
40,MONO,COBO,0,pseudopalabra,2,1,NA
40,MONO,COBO,1,pseudopalabra,2,1,0.648500495205
54,PEZ,SEZ,0,pseudopalabra,2,1,NA
54,PEZ,SEZ,1,pseudopalabra,2,1,0.665925290592
10,CARA,RAPA,0,pseudopalabra,2,1,NA
57,RAMA,SASA,0,pseudopalabra,2,1,NA
20,FOCA,GOSA,0,pseudopalabra,2,1,NA
20,FOCA,GOSA,1,pseudopalabra,2,1,0.719399804868
71,TAXXI,TEXPI,0,pseudopalabra,2,1,NA
71,TAXXI,TEXPI,1,pseudopalabra,2,1,0.785861507669
22,GATO,ZADO,0,pseudopalabra,2,1,NA
76,UVA,IMA,0,pseudopalabra,2,1,NA
21,FOTO,VODO,0,pseudopalabra,2,1,NA
66,SAL,FAL,0,pseudopalabra,2,1,NA
66,SAL,FAL,1,pseudopalabra,2,1,0.662434679034
9,CAPA,MAFA,0,pseudopalabra,2,1,NA
49,PALA,SABA,0,pseudopalabra,2,1,NA
62,REY,VEY,0,pseudopalabra,2,1,NA
15,CUBO,MUMO,0,pseudopalabra,2,1,NA
28,LATA,GACA,0,pseudopalabra,2,1,NA
58,RAMO,LACO,0,pseudopalabra,2,1,NA
75,UÑA,IGA,0,pseudopalabra,2,1,NA
32,LUNA,FUSA,0,pseudopalabra,2,1,NA
55,PILA,SIBA,0,pseudopalabra,2,1,NA
55,PILA,SIBA,1,pseudopalabra,2,1,0.612714149142
80,VINO,FIRO,0,pseudopalabra,2,1,NA
65,ROSA,FONA,0,pseudopalabra,2,1,NA
42,NIDO,GEDO,0,pseudopalabra,2,1,NA
78,VASO,FANO,0,pseudopalabra,2,1,NA
31,LORO,VONO,0,pseudopalabra,2,1,NA
53,PELO,MECO,0,pseudopalabra,2,1,NA
53,PELO,MECO,1,pseudopalabra,2,1,0.968488239974
41,MOTO,SOCO,0,pseudopalabra,2,1,NA
67,SAPO,TAVO,0,pseudopalabra,2,1,NA
79,VELA,FENA,0,pseudopalabra,2,1,NA
25,HUMO,NUGO,0,pseudopalabra,2,1,NA
27,LANA,FALA,0,pseudopalabra,2,1,NA
27,LANA,FALA,1,pseudopalabra,2,1,0.658161321797
